,GISJOIN_T,X,whites,blacks,asians,native_americans,others,latino,tot
42,G2601630506200,42,85,2137,3,8,27,25,2285
43,G2601630506300,43,88,2182,8,8,48,18,2352
44,G2601630506400,44,626,2287,9,11,30,132,3095
45,G2601630506500,45,50,2115,4,3,48,36,2256
46,G2601630506600,46,104,3044,2,4,56,30,3240
47,G2601630506700,47,37,1151,7,1,19,14,1229
48,G2601630506800,48,149,3600,2,6,66,42,3865
49,G2601630506900,49,117,3584,4,9,69,35,3818
50,G2601630507000,50,29,2819,3,12,53,32,2948
51,G2601630507100,51,26,2528,3,6,30,24,2617
52,G2601630507200,52,16,1381,1,0,23,13,1434
53,G2601630507300,53,30,2706,5,10,42,21,2814
54,G2601630507400,54,51,3035,4,7,38,18,3153
55,G2601630507500,55,97,2325,5,3,24,25,2479
56,G2601630507800,56,63,689,0,0,15,5,772
57,G2601630507900,57,263,1764,22,24,58,69,2200
58,G2601630508000,58,260,1028,2,1,37,15,1343
59,G2601630508100,59,181,1957,16,3,43,27,2227
60,G2601630510400,60,12,939,0,0,18,7,976
61,G2601630510500,61,398,1182,1987,22,101,33,3723
62,G2601630510600,62,1268,1073,1581,21,201,62,4206
63,G2601630510700,63,1137,527,68,1,145,10,1888
64,G2601630511000,64,86,1780,30,6,34,35,1971
65,G2601630511200,65,14,1360,7,0,52,9,1442
66,G2601630511300,66,534,1826,37,7,88,18,2510
67,G2601630511400,67,54,2522,8,9,54,34,2681
68,G2601630511900,68,60,1326,9,6,51,10,1462
69,G2601630512100,69,60,3365,7,17,60,23,3532
70,G2601630512200,70,15,1282,1,5,12,6,1321
71,G2601630512300,71,28,1564,13,11,47,14,1677
72,G2601630512400,72,22,1427,0,6,9,17,1481
73,G2601630512600,73,60,1856,0,3,20,14,1953
74,G2601630512900,74,91,1467,3,8,45,25,1639
75,G2601630513200,75,220,1559,3,3,38,20,1843
76,G2601630513300,76,236,1972,11,6,57,18,2300
77,G2601630513600,77,64,1377,0,0,21,7,1469
78,G2601630513700,78,51,3109,16,17,53,10,3256
