"","GISJOIN_T","X.1","X","whites","blacks","asians","latino","native_americans","others","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"154","G2601630524000",157,157,1062,175,24,2124,19,53,3457,0.94003263956365,0.0837799290300721,0.524642205445492,"M","L","ML"
"155","G2601630524100",158,158,1446,183,25,2957,60,156,4827,0.978088747657392,0.0824136829591075,0.545881723777792,"M","L","ML"
"156","G2601630524200",159,159,1970,282,31,3261,49,194,5787,1.01952248009978,0.0766687519250745,0.56900633015157,"M","L","ML"
"157","G2601630524300",160,160,1326,183,4,1588,52,83,3236,1.04597688608123,0.102144942476955,0.583770815248916,"M","L","ML"
"158","G2601630524500",161,161,803,255,24,479,3,32,1596,1.15314531237164,0.296302494416839,0.643582652792372,"M","L","ML"
"159","G2601630524700",162,162,31,5123,2,76,6,44,5282,0.171395212794558,0.259060548336242,0.0956574896006554,"L","L","LL"
"160","G2601630524800",163,163,41,3494,10,36,12,44,3637,0.223256453888848,0.292730178512166,0.124601799361515,"L","L","LL"
"161","G2601630525100",164,164,11,1889,3,30,3,20,1956,0.193604342739913,0.22373755091243,0.108052641029615,"L","L","LL"
"162","G2601630525200",165,165,22,1810,2,17,2,39,1892,0.231025215439254,0.343617521559346,0.128937627737939,"L","M","LM"
"163","G2601630525300",166,166,4,823,4,1,0,10,842,0.133785763676854,0.401993032986138,0.0746672563893261,"L","M","LM"
"164","G2601630525400",167,167,378,2131,81,539,8,42,3179,0.987933974281009,0.382420685750095,0.551376449377238,"M","M","MM"
"165","G2601630525500",168,168,172,1186,26,303,1,32,1720,0.934290463810522,0.319536366785479,0.521437436138146,"M","L","ML"
"166","G2601630525600",169,169,751,303,30,1180,7,49,2320,1.13003305162271,0.162883716400739,0.630683454464769,"M","L","ML"
"167","G2601630525700",170,170,1950,338,96,2845,28,138,5395,1.0715948025499,0.0914118270118984,0.598068446660185,"M","L","ML"
"168","G2601630525800",171,171,950,331,23,1152,13,99,2568,1.1860620968511,0.156590233045901,0.661953860002252,"H","L","HL"
"169","G2601630526000",172,172,1453,290,18,1316,26,298,3401,1.21898583273367,0.129616676590355,0.68032894686408,"H","L","HL"
"170","G2601630526100",173,173,1624,178,29,540,11,432,2814,1.16515802226664,0.0843026462328236,0.650287073838448,"M","L","ML"
"171","G2601630526200",174,174,1511,534,15,971,27,491,3549,1.33701201377485,0.115649522243563,0.746200612714424,"H","L","HL"
