"","GISJOIN_T","X","whites","blacks","asians","native_americans","others","latino","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"231","G26016305363",233,41,5074,12,6,0,32,5165,0.109290079171317,0.312021035970025,0.060995954562139,"L","L","LL"
"232","G26016305364",234,44,5003,5,6,0,18,5076,0.0902285494041043,0.24108992738514,0.0503575122407348,"L","L","LL"
"233","G26016305365",235,33,3175,3,13,1,9,3234,0.112388864286716,0.219329850065775,0.0627254194644419,"L","L","LL"
"234","G26016305366",236,62,5038,1,7,2,13,5123,0.0987865882043287,0.211431127561294,0.0551338446375779,"L","L","LL"
"235","G26016305367",237,27,1917,0,2,0,3,1949,0.0925953921562311,0.179413660679437,0.0516784723320726,"L","L","LL"
"236","G26016305368",238,20,2338,2,3,1,6,2370,0.0865385237560037,0.288805316496266,0.0482980697142832,"L","L","LL"
"237","G26016305369",239,79,4231,3,10,5,27,4355,0.159054128257503,0.200812570204817,0.0887697991773573,"L","L","LL"
"238","G26016305370",240,122,5093,2,7,1,33,5258,0.163472628870342,0.291559998131229,0.0912358113228061,"L","L","LL"
"239","G26016305371",241,59,3152,0,0,1,21,3233,0.133016230597515,0.18873644665833,0.0742377718002643,"L","L","LL"
"240","G26016305372",242,80,1904,0,11,5,14,2014,0.259122845383586,0.261884478254494,0.144619213590775,"L","L","LL"
"241","G26016305373",243,173,5088,6,28,3,27,5325,0.221087424279399,0.135620965507849,0.123391240887177,"L","L","LL"
"242","G26016305375",244,102,3983,5,7,0,10,4107,0.1551991411533,0.192683106457024,0.0866182899092837,"L","L","LL"
"243","G26016305376",245,129,4148,12,3,4,28,4324,0.205123003408293,0.180346361635577,0.114481327952276,"L","L","LL"
"244","G26016305377",246,94,4458,7,9,0,38,4606,0.172665871302724,0.180779203142942,0.0963666576167805,"L","L","LL"
"245","G26016305378",247,99,3400,2,5,0,3,3509,0.150874747767006,0.0910857319741829,0.084204800007005,"L","L","LL"
"246","G26016305381",248,556,1909,14,4,7,39,2529,0.664932902107959,0.138869980037982,0.371106118610012,"M","L","ML"
"247","G26016305382",249,417,1924,17,3,8,24,2393,0.588591754458727,0.138983165397423,0.328499312863858,"L","L","LL"
"248","G26016305383",250,412,2601,18,8,1,41,3081,0.517612796203161,0.0426178868122831,0.288885201999889,"L","L","LL"
"249","G26016305384",251,693,3378,81,8,19,55,4234,0.644655536248258,0.202331950746791,0.359789105245246,"M","L","ML"
"250","G26016305385",252,58,6409,6,11,17,13,6514,0.103175704237409,0.249435842657569,0.0575834569368064,"L","L","LL"
"251","G26016305386",253,93,5628,17,14,0,46,5798,0.165197993443683,0.231310523532072,0.0921987556258629,"L","L","LL"
"252","G26016305387",254,95,4379,2,4,3,21,4504,0.148325648174506,0.270636653734852,0.0827821204362935,"L","L","LL"
"253","G26016305388",255,31,1746,1,3,5,10,1796,0.157650802063278,0.298472867362017,0.0879865879158428,"L","L","LL"
"254","G26016305389",256,95,3835,4,6,0,28,3968,0.174034846762877,0.214201817599357,0.0971306973685793,"L","L","LL"
"255","G26016305390",257,20,3722,0,12,0,21,3775,0.0888672707619856,0.286521334138116,0.0495977681648711,"L","L","LL"
"256","G26016305391",258,12,2248,1,5,7,15,2288,0.112306571128151,0.336190335121107,0.0626794907781544,"L","M","LM"
"257","G26016305392",259,120,5456,4,8,1,24,5613,0.149151344420334,0.141245941573725,0.0832429502853937,"L","L","LL"
"258","G26016305393",260,108,4279,12,8,4,19,4430,0.181174279211526,0.259448746094073,0.101115290485716,"L","L","LL"
"259","G26016305394",261,87,4103,7,4,3,25,4229,0.161906023713015,0.222477691077174,0.0903614723368918,"L","L","LL"
"260","G26016305395",262,407,3333,23,7,1,39,3810,0.447415965841574,0.324319516425326,0.249707605024872,"L","L","LL"
"261","G26016305396",263,83,3737,8,4,4,29,3865,0.178773404041865,0.239337063248527,0.0997753365405044,"L","L","LL"
"262","G26016305397",264,97,2274,2,4,0,11,2388,0.218130382341955,0.172527166397525,0.121740884358732,"L","L","LL"
"263","G26016305401",265,220,4189,7,12,1,18,4447,0.255340205233516,0.172936667674466,0.142508081926601,"L","L","LL"
"264","G26016305402",266,236,4987,11,14,3,32,5283,0.257040859853025,0.186096033451953,0.143457235341843,"L","L","LL"
"265","G26016305403",267,219,4622,12,3,1,18,4875,0.231674813919812,0.197882783345007,0.12930017555293,"L","L","LL"
"266","G26016305404",268,297,3729,68,5,11,23,4133,0.402391225256343,0.248183434566552,0.224578818846542,"L","L","LL"
"267","G26016305405",269,404,3891,8,6,5,31,4345,0.383431338245127,0.193005192164291,0.213997104427371,"L","L","LL"
"268","G26016305406",270,300,4096,4,3,3,25,4431,0.300394629408136,0.093318150204207,0.167653434831605,"L","L","LL"
"269","G26016305407",271,746,4048,9,19,8,31,4861,0.51615568143955,0.393646498362347,0.288071970766213,"L","M","LM"
"270","G26016305408",272,233,2668,22,6,0,16,2945,0.367733682504482,0.150572125098021,0.205236075946574,"L","L","LL"
"271","G26016305409",273,348,3989,15,9,5,22,4388,0.354041876554465,0.168217497737254,0.197594533549192,"L","L","LL"
"272","G26016305410",274,384,4576,37,8,11,20,5036,0.364962659650396,0.16249521758458,0.203689538645292,"L","L","LL"
"273","G26016305411",275,660,5177,8,24,10,33,5912,0.432066350257473,0.0942655094424955,0.241140821453909,"L","L","LL"
"274","G26016305412",276,1025,2446,21,18,8,34,3552,0.730880819932167,0.113543493805696,0.407912352346631,"M","L","ML"
"275","G26016305413",277,2379,310,37,13,2,51,2792,0.541040255689504,0.250128046333355,0.301960316092316,"L","L","LL"
"276","G26016305414",278,1892,1123,53,8,4,89,3169,0.86784427526707,0.167402278846615,0.484353112218217,"M","L","ML"
"277","G26016305415",279,622,3915,50,23,3,23,4636,0.51849840576736,0.0958660394763493,0.289379470108644,"L","L","LL"
"278","G26016305417",280,327,2020,32,13,4,14,2410,0.545066888278272,0.0788141493697646,0.304207622529325,"L","L","LL"
"279","G26016305418",281,1944,826,53,11,2,51,2887,0.795280139532329,0.274853142302534,0.443854296958151,"M","L","ML"
"280","G26016305421",282,249,5125,9,6,5,19,5413,0.23788007971194,0.183155420713176,0.132763400332091,"L","L","LL"
"281","G26016305422",283,216,4738,11,7,8,21,5001,0.24283253526075,0.181422216118321,0.135527418401405,"L","L","LL"
"282","G26016305423",284,173,2910,3,2,1,16,3105,0.262844252109031,0.170349379945895,0.146696170229965,"L","L","LL"
"283","G26016305424",285,170,3454,0,6,12,17,3659,0.251254691301523,0.107914377590395,0.140227913186233,"L","L","LL"
"284","G26016305425",286,414,2735,7,13,12,13,3194,0.476882299210178,0.108425573866982,0.266153078803392,"L","L","LL"
"285","G26016305426",287,128,3993,10,10,3,8,4152,0.191126425244453,0.127895212118802,0.106669688943682,"L","L","LL"
"286","G26016305427",288,163,1426,5,4,4,3,1605,0.396939441147977,0.109603034842136,0.221536120201999,"L","L","LL"
"287","G26016305428",289,306,2842,16,5,3,23,3195,0.407505065606272,0.109406984524923,0.227432907488324,"L","L","LL"
"288","G26016305429",290,918,2917,19,15,12,27,3908,0.657965795021931,0.0909763519519779,0.367217702108979,"M","L","ML"
"289","G26016305430",291,755,1457,11,1,6,23,2253,0.740257583090057,0.118492431514824,0.413145623507704,"M","L","ML"
"290","G26016305431",292,844,2110,68,4,3,28,3057,0.754353476997707,0.120565011882313,0.421012691688302,"M","L","ML"
"291","G26016305432",293,608,2958,9,7,9,45,3636,0.563054141627018,0.157954481362824,0.31424649976573,"L","L","LL"
"292","G26016305434",294,506,3374,5,12,8,31,3936,0.472669484947826,0.120839087591154,0.263801862395887,"L","L","LL"
"293","G26016305435",295,861,2424,16,30,11,59,3401,0.744961249548263,0.166680727689936,0.415770789741781,"M","L","ML"
"294","G26016305436",296,1803,2336,10,39,2,67,4257,0.819335610205015,0.154924928511559,0.457279910767269,"M","L","ML"
"295","G26016305437",297,952,3164,28,9,3,41,4197,0.646501465191255,0.167278531209452,0.360819337804191,"M","L","ML"
"296","G26016305438",298,1471,1172,7,17,13,41,2721,0.831093794174849,0.131168367942095,0.463842278189778,"M","L","ML"
"297","G26016305439",299,970,1023,3,12,0,42,2050,0.820243766984951,0.158624238289209,0.457786762716726,"M","L","ML"
"298","G26016305440",300,1491,899,204,25,1,63,2683,1.02336101015995,0.178426691482353,0.571148654568487,"M","L","ML"
"299","G26016305441",301,884,1884,45,11,8,29,2861,0.787673420595733,0.202632834083893,0.439608906286448,"M","L","ML"
"300","G26016305442",302,2697,1144,41,35,5,55,3977,0.778215854148128,0.109608520793123,0.434330537950726,"M","L","ML"
"301","G26016305443",303,2857,597,35,17,4,62,3572,0.626384966860034,0.290591827748619,0.349592106316536,"M","L","ML"
"302","G26016305451",304,226,3162,3,1,1,11,3404,0.278080998832742,0.117840140376141,0.155199960490538,"L","L","LL"
"303","G26016305452",305,276,5178,19,5,2,29,5509,0.264634341450235,0.163812780941938,0.147695238113767,"L","L","LL"
"304","G26016305453",306,360,3560,3,7,9,23,3962,0.374417811234802,0.220158356798633,0.208966559220202,"L","L","LL"
"305","G26016305454",307,238,2686,1,12,0,25,2962,0.356606998001815,0.285949207048707,0.199026155087352,"L","L","LL"
"306","G26016305455",308,2589,1714,24,15,12,168,4522,0.871816556018995,0.207055218362436,0.486570084317512,"M","L","ML"
"307","G26016305456",309,3809,155,31,13,1,211,4220,0.419523943857314,0.14020035871615,0.234140771159456,"L","L","LL"
"308","G26016305457",310,2432,28,30,18,1,136,2645,0.365682070938034,0.239774372662677,0.204091049729784,"L","L","LL"
"309","G26016305458",311,4509,51,42,39,3,177,4821,0.316907365053177,0.170407315483969,0.176869368068533,"L","L","LL"
"310","G26016305459",312,3596,484,43,24,4,200,4351,0.624111118998505,0.14019123900005,0.348323047661856,"M","L","ML"
"311","G26016305460",313,1826,2879,22,10,8,119,4864,0.816665691479296,0.158276069083798,0.455789800754418,"M","L","ML"
"312","G26016305461",314,3230,1287,64,30,0,209,4820,0.845896795840975,0.152229508899172,0.472103990724499,"M","L","ML"
"313","G26016305462",315,3105,6,32,6,0,81,3230,0.199450180439573,0.219630065100929,0.111315265170889,"L","L","LL"
"314","G26016305463",316,1221,573,62,16,3,33,1908,0.878680685661404,0.119339422852708,0.490401028012966,"M","L","ML"
"315","G26016305464",317,426,1353,8,4,1,23,1815,0.656057840269135,0.0998265432021331,0.366152852286465,"M","L","ML"
"316","G26016305465",318,493,2136,8,3,6,27,2673,0.576115409902093,0.074586071232565,0.321536132386286,"L","L","LL"
"317","G26016305466",319,766,2000,14,11,7,37,2835,0.718933214210503,0.155397488008734,0.401244266631526,"M","L","ML"
"318","G26016305467",320,591,3435,5,3,6,48,4088,0.501096841020275,0.149118164009538,0.279667471904676,"L","L","LL"
"319","G26016305468",321,523,4078,7,7,2,37,4654,0.422731131647417,0.18162504953592,0.235930736746458,"L","L","LL"
"320","G26016305469",322,113,1698,5,6,0,17,1839,0.323103593452367,0.150865840480921,0.18032754898266,"L","L","LL"
"321","G26016305501",323,4083,42,61,8,2,56,4252,0.217880661024391,0.250046049228408,0.121601512237723,"L","L","LL"
"322","G26016305502",324,4441,60,85,25,1,101,4713,0.29592790258469,0.2136479776581,0.165160507125538,"L","L","LL"
"323","G26016305503",325,3816,6,29,3,0,28,3882,0.104551010685151,0.288983195361552,0.0583510300800557,"L","L","LL"
"324","G26016305504",326,1678,13,15,4,0,23,1733,0.180415306157647,0.22487867657064,0.100691699559079,"L","L","LL"
"325","G26016305505",327,3855,10,38,4,1,40,3948,0.138721160145907,0.255074666310422,0.0774217536049481,"L","L","LL"
"326","G26016305506",328,2592,12,16,2,0,23,2645,0.12190739168422,0.291109712617621,0.0680378107541083,"L","L","LL"
"327","G26016305507",329,5586,10,44,5,0,45,5690,0.111317914747478,0.282423708594744,0.0621277111460935,"L","L","LL"
"328","G26016305508",330,1728,1,24,0,0,4,1757,0.0931191827381366,0.212140926936035,0.0519708054219215,"L","L","LL"
"329","G26016305509",331,2687,11,107,3,1,41,2850,0.27122896791571,0.210184727037024,0.151375769222285,"L","L","LL"
"330","G26016305510",332,7940,4,184,1,0,51,8180,0.150745133167886,0.242325757683682,0.0841324607218803,"L","L","LL"
"331","G26016305511",333,5195,10,42,5,0,28,5280,0.100671996094141,0.223208626124243,0.0561861108162659,"L","L","LL"
"332","G26016305512",334,4221,0,29,2,0,45,4297,0.10257791972605,0.255593303179328,0.057249827048629,"L","L","LL"
"333","G26016305513",335,3934,9,16,9,0,51,4019,0.125667376016205,0.296486932017112,0.0701362979654552,"L","L","LL"
"334","G26016305514",336,4219,114,75,10,1,40,4459,0.272649908579197,0.236706228185357,0.152168811306276,"L","L","LL"
"335","G26016305515",337,2441,4,22,0,1,26,2494,0.123785597676976,0.185336329255916,0.0690860574775176,"L","L","LL"
"336","G26016305516",338,3827,4,15,8,0,35,3889,0.099447350954219,0.26556983235354,0.055502623349921,"L","L","LL"
"337","G26016305520",339,2305,81,16,12,0,27,2441,0.276051987422148,0.229527161029186,0.154067547660892,"L","L","LL"
"338","G26016305521",340,3209,803,52,31,4,89,4188,0.699994997569058,0.350369354034303,0.390674646676006,"M","M","MM"
"339","G26016305522",341,2862,175,28,1,0,50,3116,0.351048597027207,0.30903170021327,0.195923952436791,"L","L","LL"
"340","G26016305523",342,2562,198,54,25,17,54,2910,0.513883592594702,0.155287685264321,0.286803893837435,"L","L","LL"
"341","G26016305524",343,1291,816,21,4,3,20,2155,0.784061872047137,0.33629971841116,0.437593262663172,"M","M","MM"
"342","G26016305525",344,1466,73,11,6,0,10,1566,0.293108637331952,0.111850040718932,0.163587045228918,"L","L","LL"
"343","G26016305526",345,1478,427,38,11,0,42,1996,0.737710136372436,0.113434164470474,0.411723866424026,"M","L","ML"
"344","G26016305530",346,240,1478,17,9,5,6,1755,0.524815249259716,0.265961082422494,0.292904967587989,"L","L","LL"
"345","G26016305531",347,289,2905,12,5,8,23,3242,0.394484454362311,0.118032186010493,0.220165965988876,"L","L","LL"
"346","G26016305532",348,53,2063,8,3,2,10,2139,0.18823734986092,0.222892747747757,0.105057265271224,"L","L","LL"
"347","G26016305533",349,28,2192,0,0,0,7,2227,0.088726892720707,0.2332401986313,0.0495194216882991,"L","L","LL"
"348","G26016305534",350,127,2063,0,4,3,31,2228,0.31426797443328,0.183509756653734,0.175396296115949,"L","L","LL"
"349","G26016305535",351,40,1840,2,6,7,23,1918,0.219273848529733,0.165144783837121,0.122379064989233,"L","L","LL"
"350","G26016305536",352,337,3331,6,1,7,16,3698,0.360508195082147,0.223750852790938,0.201203454634156,"L","L","LL"
"351","G26016305537",353,157,2722,5,5,4,21,2914,0.287496227694698,0.166397209401154,0.160454699769808,"L","L","LL"
"352","G26016305541",354,4639,24,36,19,0,64,4782,0.172528488546231,0.239692923230082,0.0962899828404767,"L","L","LL"
"353","G26016305542",355,3623,3,13,23,1,44,3707,0.134364795143006,0.281110226394241,0.0749904200036928,"L","L","LL"
"354","G26016305543",356,5928,5,33,28,1,90,6085,0.148113853977344,0.254064540139245,0.0826639158442155,"L","L","LL"
"355","G26016305544",357,3840,8,13,21,1,41,3924,0.130482147152758,0.304929523800199,0.0728234729011777,"L","L","LL"
"356","G26016305545",358,3262,20,23,14,2,42,3363,0.176122854435074,0.263954914434311,0.0982960366387531,"L","L","LL"
"357","G26016305546",359,4363,39,11,21,0,68,4502,0.174593736774915,0.364068122357275,0.0974426198233714,"L","M","LM"
"358","G26016305547",360,2733,5,12,5,0,35,2790,0.121250794451491,0.288933940925143,0.0676713568611584,"L","L","LL"
"359","G26016305548",361,3601,33,34,13,5,75,3761,0.232186549565966,0.281937626829843,0.129585780655034,"L","L","LL"
"360","G26016305549",362,1832,11,20,4,0,31,1898,0.192177744647108,0.182900686864817,0.107256441474203,"L","L","LL"
"361","G26016305550",363,1724,1,3,1,0,17,1746,0.0771089164542367,0.268259620003749,0.0430353056749618,"L","L","LL"
"362","G26016305551",364,1633,1,7,3,0,36,1680,0.148488248876721,0.270735079469876,0.0828728696160841,"L","L","LL"
"363","G26016305552",365,3414,2,2,15,2,63,3498,0.132253186763672,0.2450373058624,0.0738119089280723,"L","L","LL"
"364","G26016305553",366,3470,5,21,9,0,85,3590,0.175737621355025,0.269177497812533,0.0980810339630789,"L","L","LL"
"365","G26016305554",367,2738,196,24,12,0,54,3024,0.399510587344939,0.293141581120049,0.222971104216941,"L","L","LL"
"366","G26016305555",368,3005,6,19,8,0,48,3086,0.149573747304403,0.204650531326334,0.0834786978236782,"L","L","LL"
"367","G26016305556",369,2890,3,18,1,3,36,2951,0.122034551304756,0.264703073871549,0.0681087798895974,"L","L","LL"
"368","G26016305560",370,2165,4,16,9,0,31,2225,0.155280516811307,0.275041300738101,0.0866637065287601,"L","L","LL"
"369","G26016305561",371,1613,0,31,5,0,8,1657,0.143896115042368,0.243485568071308,0.0803099509245865,"L","L","LL"
"370","G26016305562",372,2557,16,28,7,0,31,2639,0.177712484270382,0.165082685059166,0.0991832259421218,"L","L","LL"
"371","G26016305563",373,2649,9,21,7,0,48,2734,0.173066949603977,0.226405927721705,0.0965905036787885,"L","L","LL"
"372","G26016305564",374,4000,53,144,4,1,87,4289,0.320825361380311,0.11480104156081,0.179056043453496,"L","L","LL"
"373","G26016305565",375,1580,0,11,2,0,22,1615,0.12222913630754,0.128286473142351,0.0682173798474192,"L","L","LL"
"374","G26016305566",376,3400,2,28,4,0,51,3485,0.136722398829085,0.241977446804676,0.07630622367409,"L","L","LL"
"375","G26016305567",377,2684,7,84,6,1,14,2796,0.202090392890901,0.195265051304397,0.112788795796329,"L","L","LL"
"376","G26016305568",378,1941,10,27,0,1,35,2014,0.193935055207388,0.14687990987219,0.108237215172046,"L","L","LL"
"377","G26016305569",379,3396,2,62,3,0,32,3495,0.152751413161188,0.155290236318552,0.0852521869059792,"L","L","LL"
"378","G26016305570",380,3117,27,46,6,0,54,3250,0.219837687943708,0.219127226530656,0.122693749757841,"L","L","LL"
"379","G26016305571",381,2448,16,10,8,2,38,2522,0.170061047507575,0.119892995380339,0.0949128777764142,"L","L","LL"
"380","G26016305572",382,1954,1,19,4,0,13,1991,0.111947116419107,0.210923414343802,0.0624788752852733,"L","L","LL"
"381","G26016305573",383,2100,0,27,3,0,29,2159,0.148780920967837,0.266596900076857,0.0830362130202311,"L","L","LL"
"382","G26016305574",384,3725,1,53,5,0,32,3816,0.133910693168044,0.246704999031937,0.074736980865929,"L","L","LL"
"383","G26016305575",385,4417,9,45,7,0,58,4536,0.149730955171118,0.231729627617849,0.0835664372046695,"L","L","LL"
"384","G26016305576",386,3700,13,118,5,1,48,3885,0.23664765009666,0.240620990491847,0.132075568267327,"L","L","LL"
"385","G26016305577",387,5171,0,75,1,0,61,5308,0.138599590838184,0.20341453015035,0.0773539044824453,"L","L","LL"
"386","G26016305579",388,5615,25,68,7,0,75,5790,0.169892439598799,0.20341385902313,0.0948187759108054,"L","L","LL"
"387","G26016305580",389,4703,3,45,8,2,74,4835,0.152823831820198,0.258589721722621,0.0852926045291331,"L","L","LL"
"388","G26016305581",390,3680,5,41,6,0,66,3798,0.168814997015751,0.216152055430284,0.0942174437557075,"L","L","LL"
"389","G26016305582",391,4242,8,47,10,0,60,4367,0.161356456742774,0.258660975025937,0.090054753170799,"L","L","LL"
"390","G26016305583",392,1573,15,8,9,0,36,1641,0.221780252673827,0.355885879977846,0.123777915776484,"L","M","LM"
"391","G26016305584",393,3433,12,64,1,0,39,3549,0.175669148625142,0.207869112180224,0.098042818604902,"L","L","LL"
"392","G26016305585",394,4232,8,31,6,0,38,4315,0.116993364914785,0.218075845570025,0.0652952401949293,"L","L","LL"
"393","G26016305586",395,1712,3,29,6,1,8,1759,0.153064495642784,0.249019001880839,0.0854269215659448,"L","L","LL"
"394","G26016305587",396,2943,9,27,7,0,33,3019,0.147807312217261,0.263690212047873,0.0824928316304316,"L","L","LL"
"395","G26016305588",397,3160,0,25,4,0,66,3255,0.153431863448889,0.227231880214195,0.085631953442385,"L","L","LL"
"396","G26016305589",398,2029,1,37,4,0,18,2089,0.156352602934725,0.27715481507286,0.0872620491868179,"L","L","LL"
"397","G26016305590",399,2972,0,16,9,0,56,3053,0.144216834666576,0.203556105495597,0.0804889479550003,"L","L","LL"
"398","G26016305591",400,2766,4,37,10,1,53,2871,0.197321238681131,0.215206509073738,0.110127080152194,"L","L","LL"
"399","G26016305592",401,2038,0,10,4,0,41,2093,0.14046484007697,0.22179904397392,0.0783949199037787,"L","L","LL"
"400","G26016305601",402,2827,4,23,9,0,20,2883,0.119400003473388,0.331994610098544,0.0666384107487537,"L","M","LM"
"401","G26016305602",403,4510,27,166,6,12,53,4774,0.273212754774641,0.0805120723966152,0.152482941749067,"L","L","LL"
"402","G26016305603",404,3008,21,118,7,1,48,3203,0.292424143322597,0.133746948601349,0.163205021848486,"L","L","LL"
"403","G26016305604",405,4564,4,105,17,1,31,4722,0.178563205718159,0.150700653027278,0.0996580226223608,"L","L","LL"
"404","G26016305605",406,313,403,3,4,0,9,732,0.79694298853769,0,0.444782350658394,"M","L","ML"
"405","G26016305607",407,2708,7,21,7,0,15,2758,0.113799345788126,0.189012532099409,0.0635126241789331,"L","L","LL"
"406","G26016305608",408,468,591,8,5,0,28,1100,0.851137388825573,0.0919488068797673,0.475028821358633,"M","L","ML"
"407","G26016305616",409,3878,9,52,7,0,56,4002,0.17148980161812,0.156708853674549,0.0957102806282379,"L","L","LL"
"408","G26016305617",410,1261,0,3,9,0,20,1293,0.137576382495853,0.222003016937199,0.0767828410334146,"L","L","LL"
"409","G26016305618",411,127,205,15,6,0,22,375,1.05811789394535,0.00548386629192187,0.590546840754923,"M","L","ML"
"410","G26016305619",412,2467,13,55,1,1,29,2566,0.203751433179356,0.165818247961163,0.113715840032445,"L","L","LL"
"411","G26016305620",413,7512,35,179,11,0,81,7818,0.205636436754758,0.185286193226464,0.114767880558964,"L","L","LL"
"412","G26016305621",414,5797,8,72,20,1,49,5947,0.14738846039307,0.235536237435883,0.0822590659763999,"L","L","LL"
"413","G26016305622",415,1647,4,7,3,0,14,1675,0.10520321406749,0.225813268002119,0.0587150317184119,"L","L","LL"
"414","G26016305625",416,2087,8,11,8,0,35,2149,0.164133456488994,0.283657884000031,0.0916046262390943,"L","L","LL"
"415","G26016305626",417,3580,18,12,7,1,40,3658,0.129607628600696,0.327893108163353,0.0723353948041555,"L","L","LL"
"416","G26016305627",418,3651,3,20,20,1,30,3725,0.122573916402181,0.302585958133015,0.0684098052820614,"L","L","LL"
"417","G26016305632",419,3333,159,101,9,8,62,3672,0.419703023321007,0.169485214633321,0.23424071731114,"L","L","LL"
"418","G26016305633",420,2674,46,83,10,0,44,2857,0.315304820678148,0.0805962055770155,0.17597497102331,"L","L","LL"
"419","G26016305634",421,5324,74,319,7,4,69,5797,0.359294346140764,0.123044588817164,0.200525992640942,"L","L","LL"
"420","G26016305635",422,4423,132,408,0,1,55,5019,0.462263399749037,0.0694281993062381,0.257994115665645,"L","L","LL"
"421","G26016305636",423,1866,15,115,2,0,32,2030,0.348572089407745,0.125743902510804,0.194541787217634,"L","L","LL"
"422","G26016305637",424,1781,50,96,10,0,28,1965,0.417462797379162,0.133925349268076,0.23299042340712,"L","L","LL"
"423","G26016305638",425,3146,63,173,14,1,34,3431,0.374093268703604,0.152544644287749,0.208785428584773,"L","L","LL"
"424","G26016305639",426,1701,31,139,2,0,29,1902,0.429171215691932,0.0753192725211732,0.239525016087585,"L","L","LL"
"425","G26016305640",427,1522,61,17,7,0,24,1631,0.320489635721573,0.188652745017865,0.178868671395748,"L","L","LL"
"426","G26016305641",428,3001,41,321,5,3,56,3427,0.473913526387157,0.177704070836994,0.264496175143047,"L","L","LL"
"427","G26016305642",429,3675,65,202,11,0,76,4029,0.391537510487129,0.138475875140327,0.218521245296287,"L","L","LL"
"428","G26016305643",430,1939,56,134,0,1,39,2169,0.442418534529434,0.163127341433208,0.246918485504107,"L","L","LL"
"429","G26016305644",431,1347,0,12,11,3,6,1379,0.139750060458733,0.292308263460674,0.0779959938031979,"L","L","LL"
"430","G26016305645",432,2967,27,27,20,4,17,3062,0.184343372778172,0.265401793684885,0.102883995281796,"L","L","LL"
"431","G26016305646",433,3135,58,126,4,1,54,3378,0.338247270484489,0.088161197322852,0.188779396059347,"L","L","LL"
"432","G26016305647",434,2860,77,43,8,1,46,3035,0.291282155244095,0.0688494055554997,0.16256766616648,"L","L","LL"
"433","G26016305648",435,2795,91,77,11,0,62,3036,0.374295099262834,0.149533784141017,0.208898072364641,"L","L","LL"
"434","G26016305649",436,2161,36,14,15,0,15,2241,0.200149028087638,0.120860562666399,0.111705299469615,"L","L","LL"
"435","G26016305650",437,2731,73,125,6,8,44,2987,0.39591141541982,0.148310189519058,0.220962368118747,"L","L","LL"
"436","G26016305664",438,1068,139,5,10,0,36,1258,0.544499785567853,0.227291336904246,0.303891116480294,"L","L","LL"
"437","G26016305665",439,2301,84,73,19,0,58,2535,0.426070733897511,0.438413133598141,0.23779460425069,"L","M","LM"
"438","G26016305666",440,1586,138,12,7,0,39,1782,0.44089720765335,0.228387258961651,0.246069416808106,"L","L","LL"
"439","G26016305667",441,4377,36,11,37,3,129,4593,0.242328466610521,0.263805815997412,0.135246092331201,"L","L","LL"
"440","G26016305668",442,3102,121,18,33,0,51,3325,0.323452900540407,0.297963146330449,0.180522500980425,"L","L","LL"
"441","G26016305669",443,5248,969,40,22,7,120,6406,0.582183597051373,0.413573889722183,0.3249228521182,"L","M","LM"
"442","G26016305671",444,4068,14,28,14,0,69,4193,0.168475022035394,0.137906692221414,0.0940277001064089,"L","L","LL"
"443","G26016305672",445,7012,54,71,24,0,144,7305,0.216794258737563,0.162057179961634,0.120995179576734,"L","L","LL"
"444","G26016305673",446,4888,27,69,20,0,86,5090,0.215694475102524,0.19300522109111,0.120381378643112,"L","L","LL"
"445","G26016305674",447,2948,14,26,3,2,49,3042,0.174029999054176,0.149732775551951,0.0971279918108392,"L","L","LL"
"446","G26016305675",448,3692,236,54,15,2,90,4089,0.42227599983467,0.0304779090540772,0.235676722845282,"L","L","LL"
"447","G26016305676",449,5326,180,91,33,0,93,5723,0.338232737916321,0.113614162972348,0.188771285278622,"L","L","LL"
"448","G26016305677",450,4935,143,107,25,0,102,5312,0.34548134694358,0.101225141489382,0.19281681100445,"L","L","LL"
"449","G26016305678",451,5210,68,89,20,2,134,5523,0.28914565586574,0.172852642766044,0.161375263159799,"L","L","LL"
"450","G26016305679",452,3133,8,26,20,2,49,3238,0.184872559094024,0.235714034501321,0.103179339788098,"L","L","LL"
"451","G26016305680",453,1716,38,18,14,0,32,1818,0.289625105442513,0.147542181482765,0.161642849063492,"L","L","LL"
"452","G26016305681",454,5206,42,38,28,0,71,5385,0.189913602962982,0.195050435522914,0.105992799940275,"L","L","LL"
"453","G26016305682",455,4129,28,30,18,6,47,4258,0.179884832570308,0.199413811831821,0.100395636612881,"L","L","LL"
"454","G26016305683",456,4858,42,18,30,0,84,5032,0.192930183830296,0.164041853202943,0.107676385778174,"L","L","LL"
"455","G26016305684",457,4028,25,25,27,1,98,4204,0.223956355689389,0.2210446418842,0.124992421993939,"L","L","LL"
"456","G26016305685",458,5396,19,16,76,2,146,5655,0.235610671334964,0.130729951569719,0.131496819400917,"L","L","LL"
"457","G26016305686",459,6972,82,59,47,0,148,7308,0.245619077273892,0.195139972193657,0.137082617110271,"L","L","LL"
"458","G26016305687",460,3466,202,51,9,0,87,3815,0.40092290685407,0.151468039673762,0.223759334743072,"L","L","LL"
"459","G26016305688",461,208,109,0,1,0,7,325,0.752482995301313,0,0.419968755976775,"M","L","ML"
"460","G26016305689",462,1342,899,7,22,3,38,2311,0.82095548821886,0.654577104587953,0.458183981900513,"M","M","MM"
